,,Ciências da Saúde,Ciências Humanas,Ciências Sociais Aplicadas,Ciências Agrárias,"Lingüística, Letras e Artes",Engenharias,Multidisciplinar,Ciências Exatas e da Terra,Ciências Biológicas
CCS,2017,"[9.0, 8.7, 9.1, 8.533333333333333, 8.866666666666667, 8.799999999999999, 9.533333333333333, 9.233333333333334, 9.833333333333334, 9.166666666666668, 8.9, 9.1, 7.05, 9.266666666666666, 8.733333333333334, 9.466666666666667, 9.433333333333332, 9.0, 9.200000000000001, 6.033333333333334, 7.866666666666667, 9.1, 9.033333333333333, 9.0, 7.566666666666666, 9.033333333333333, 8.4, 9.4, 8.4, 9.133333333333333, 8.966666666666667, 9.299999999999999, 9.4, 9.266666666666667, 8.633333333333333, 8.466666666666667, 8.033333333333333, 9.4, 9.066666666666668, 9.0, 9.333333333333334, 9.4, 7.7, 8.066666666666668, 9.1, 9.4, 7.966666666666668, 9.100000000000001, 9.433333333333332, 8.333333333333334, 7.633333333333333, 8.4, 8.866666666666667, 9.233333333333333, 9.133333333333333, 8.4, 9.333333333333334, 9.433333333333334, 9.833333333333334, 7.366666666666666, 8.133333333333333, 9.266666666666667, 9.033333333333333, 8.166666666666666, 8.466666666666667, 8.833333333333334, 8.9, 9.600000000000001, 8.899999999999999, 9.166666666666666, 8.5, 9.833333333333334, 8.533333333333333, 9.466666666666667, 8.833333333333334, 9.4, 9.266666666666667, 9.933333333333332, 9.433333333333334, 7.766666666666667, 8.200000000000001, 9.566666666666666, 5.800000000000001, 9.799999999999999, 8.833333333333334, 8.8, 8.133333333333333, 9.666666666666666, 8.6, 8.4, 9.3, 7.400000000000001, 8.0, 8.766666666666667, 8.766666666666667, 9.766666666666667, 8.5, 9.4, 9.2, 9.033333333333333, 9.200000000000001, 8.833333333333334, 9.6, 8.9, 9.433333333333332, 9.3, 8.1, 9.4, 8.733333333333333, 8.9, 8.433333333333334, 8.700000000000001, 8.066666666666668, 9.433333333333334, 9.266666666666667, 8.333333333333334, 8.966666666666667]","[8.233333333333333, 9.600000000000001, 8.333333333333334]",0.0,0.0,0.0,0.0,0.0,0.0,"[8.033333333333333, 8.466666666666667]"
CCS,2018,"[9.066666666666668, 9.866666666666667, 6.966666666666666, 9.466666666666667, 8.5, 8.9, 8.200000000000001, 9.299999999999999, 8.9, 9.033333333333333, 9.333333333333332, 10.0, 8.833333333333334, 8.833333333333334, 9.066666666666668, 7.933333333333334, 9.133333333333333, 8.066666666666666, 8.533333333333333, 9.033333333333333, 8.799999999999999, 9.5, 8.933333333333332, 9.666666666666666, 9.566666666666666, 9.299999999999999, 9.533333333333333, 8.9, 8.166666666666666, 8.066666666666668, 9.5, 9.766666666666667, 9.133333333333333, 8.666666666666666, 9.766666666666667, 9.366666666666667, 8.233333333333333, 9.333333333333334, 9.266666666666667, 9.666666666666666, 8.966666666666667, 8.433333333333334, 8.533333333333333, 8.733333333333333, 9.4, 8.500000000000002, 9.633333333333335, 9.566666666666668, 8.433333333333332, 9.266666666666666, 9.299999999999999, 9.066666666666666, 8.5, 9.733333333333333, 9.4, 9.0, 9.200000000000001, 9.100000000000001, 7.966666666666666, 9.3, 9.5, 9.166666666666666, 8.466666666666667, 9.033333333333333, 8.6, 9.0, 9.5, 9.233333333333334, 9.700000000000001, 8.466666666666667, 8.700000000000001, 7.866666666666667, 8.633333333333335, 9.466666666666667, 7.966666666666666, 8.266666666666667, 8.9, 9.433333333333332, 9.766666666666667, 9.533333333333333, 8.966666666666667, 8.833333333333334, 8.833333333333334, 9.333333333333334, 8.799999999999999, 9.200000000000001, 9.0, 9.166666666666666, 8.666666666666666, 9.733333333333333, 8.833333333333334, 9.4, 9.033333333333333, 8.733333333333333, 9.266666666666667, 9.0, 9.466666666666667, 9.033333333333333, 9.4, 8.833333333333334, 8.666666666666666, 9.733333333333333, 8.7, 9.866666666666667, 9.666666666666668, 9.499999999999998, 7.7, 9.299999999999999, 8.466666666666667, 9.533333333333333, 9.4, 8.7, 8.433333333333334, 8.133333333333333, 8.6, 8.866666666666665, 9.133333333333333, 8.666666666666666, 9.333333333333334, 9.1, 8.666666666666668, 9.566666666666666, 8.033333333333333, 9.566666666666666, 9.533333333333333, 7.933333333333333, 8.5, 7.833333333333333, 9.4, 8.733333333333333]","[8.066666666666668, 9.933333333333334]",0.0,0.0,0.0,0.0,"[8.766666666666667, 8.033333333333333, 8.466666666666667]",0.0,"[8.9, 8.933333333333334, 7.633333333333333]"
CCS,2019,"[9.1, 8.700000000000001, 9.133333333333335, 8.0, 9.200000000000001, 9.066666666666668, 9.566666666666666, 9.4, 8.033333333333333, 9.466666666666667, 8.766666666666667, 8.733333333333333, 9.433333333333334, 9.233333333333334, 9.333333333333334, 9.533333333333333, 9.200000000000001, 8.566666666666668, 9.366666666666667, 7.966666666666666, 9.133333333333333, 8.433333333333334, 9.299999999999999, 9.0, 8.4, 9.1, 9.033333333333333, 9.700000000000001, 8.633333333333333, 9.766666666666667, 7.133333333333333, 9.533333333333333, 8.433333333333334, 8.700000000000001, 9.266666666666666, 8.299999999999999, 8.4, 9.366666666666667, 8.166666666666666, 7.7, 8.133333333333333, 9.733333333333333, 9.133333333333333, 9.833333333333334, 8.466666666666667, 9.266666666666667, 8.200000000000001, 8.433333333333334, 9.299999999999999, 7.866666666666666, 8.700000000000001, 8.933333333333334, 9.333333333333334, 8.1, 8.666666666666668, 9.233333333333334, 9.299999999999999, 8.299999999999999, 9.566666666666666, 9.4, 9.633333333333333, 9.0, 8.833333333333334, 9.233333333333333, 9.133333333333333, 9.266666666666666, 9.166666666666666, 8.733333333333333, 9.633333333333333, 9.233333333333333, 8.9, 9.133333333333333, 9.1, 8.933333333333334, 8.0, 5.7, 9.333333333333334, 8.799999999999999, 9.066666666666668, 9.533333333333333, 9.233333333333333, 9.333333333333334, 9.266666666666667, 9.5, 9.299999999999999, 8.6, 9.233333333333333, 9.700000000000001, 9.4, 9.166666666666666, 8.733333333333333, 9.1, 9.133333333333333, 8.866666666666667, 8.7, 7.833333333333333, 9.1, 8.966666666666667, 9.333333333333334, 9.066666666666665, 7.933333333333333, 9.733333333333334, 8.266666666666666, 8.566666666666668, 9.233333333333333, 9.133333333333335, 8.566666666666668, 8.766666666666667, 9.066666666666668, 8.299999999999999, 8.933333333333332, 8.9, 9.333333333333334, 9.066666666666666, 9.133333333333333, 8.933333333333334, 10.0, 9.133333333333333, 8.866666666666667, 9.433333333333334, 9.133333333333333, 9.166666666666668, 9.333333333333334, 9.0, 9.166666666666666, 7.966666666666666, 9.466666666666667, 7.6000000000000005, 9.433333333333334, 9.433333333333332, 9.4, 9.366666666666667, 9.566666666666668, 8.666666666666666, 8.166666666666666, 8.666666666666666, 8.4, 8.766666666666666, 8.433333333333334, 8.366666666666667, 9.033333333333333, 8.833333333333334, 9.133333333333333, 8.933333333333334, 9.633333333333333, 9.4, 9.866666666666667, 8.999999999999998, 8.5, 9.166666666666666, 7.366666666666667]","[9.233333333333333, 9.9, 8.9]",0.0,0.0,0.0,0.0,[7.133333333333333],0.0,"[7.166666666666667, 8.6]"
CCS,2020,"[8.033333333333333, 9.833333333333334, 8.733333333333334, 8.933333333333332, 9.133333333333333, 8.633333333333333, 9.200000000000001, 9.100000000000001, 9.700000000000001, 6.066666666666667, 8.133333333333333, 8.666666666666666, 9.566666666666665, 6.7, 9.633333333333333, 7.8999999999999995, 8.166666666666666, 9.333333333333334, 9.066666666666666, 8.533333333333333, 3.8000000000000003, 9.1, 9.266666666666667, 9.633333333333333, 8.833333333333334, 9.133333333333335, 8.966666666666667, 9.666666666666666, 9.333333333333334, 8.833333333333334, 9.633333333333333, 9.266666666666666, 9.266666666666667, 9.466666666666667, 8.966666666666667, 8.866666666666667, 8.666666666666666, 8.866666666666667, 8.9, 7.1000000000000005, 9.366666666666665, 9.133333333333333, 9.1, 8.066666666666668, 9.2, 8.766666666666666, 9.2, 8.566666666666666, 9.299999999999999, 8.933333333333334, 8.666666666666666, 7.466666666666668, 9.299999999999999, 9.0, 9.033333333333333, 8.2, 9.200000000000001, 8.700000000000001, 8.433333333333332, 8.266666666666667, 9.9, 9.166666666666666, 8.666666666666668, 4.1000000000000005, 9.633333333333333, 8.766666666666667, 8.566666666666668, 9.066666666666666, 9.466666666666667, 8.899999999999999, 8.4, 7.366666666666667, 8.833333333333334, 8.4, 9.633333333333333, 7.6000000000000005, 9.833333333333334, 8.933333333333334, 8.466666666666667, 9.833333333333334, 7.666666666666667, 8.6, 8.5, 8.533333333333333, 8.266666666666667, 9.466666666666667, 8.200000000000001, 9.0, 8.633333333333333, 8.533333333333333, 9.333333333333334, 9.9, 9.7, 9.266666666666666, 8.533333333333333, 9.466666666666667, 8.366666666666667, 9.933333333333332, 9.1, 8.6, 9.566666666666666, 9.6, 8.1, 9.200000000000001, 9.333333333333334, 9.033333333333333, 9.9, 8.433333333333332, 8.933333333333334, 8.6, 8.366666666666665, 9.333333333333334, 9.5, 6.733333333333333, 8.033333333333333, 8.6, 7.466666666666666, 9.1, 9.333333333333334, 7.333333333333333, 9.200000000000001, 8.766666666666667, 9.700000000000001, 8.8, 9.066666666666668, 8.666666666666666, 8.700000000000001, 8.533333333333333, 8.733333333333333, 7.566666666666667, 8.833333333333334, 8.966666666666667, 8.700000000000001, 8.933333333333334, 9.766666666666667, 8.9, 9.1, 8.4, 8.733333333333333, 9.4, 9.5, 9.1, 7.966666666666668, 9.6, 8.366666666666667, 7.5, 9.066666666666666, 8.133333333333335, 9.533333333333333]","[9.333333333333334, 9.433333333333334]",0.0,0.0,0.0,0.0,"[8.766666666666667, 9.033333333333333, 8.466666666666667]",0.0,"[7.8, 7.833333333333333, 8.833333333333334]"
CEAR,2017,0.0,0.0,0.0,0.0,0.0,"[7.3, 8.266666666666666, 9.033333333333333, 8.0, 6.199999999999999, 7.933333333333334, 8.833333333333334, 7.433333333333334]",0.0,0.0,0.0
CEAR,2018,0.0,0.0,0.0,0.0,0.0,"[8.6, 9.0, 9.5, 9.133333333333333, 8.700000000000001, 8.1, 8.899999999999999, 9.366666666666667]",[9.200000000000001],[9.033333333333333],0.0
CEAR,2019,0.0,0.0,0.0,0.0,0.0,"[9.166666666666666, 8.799999999999999, 8.966666666666667, 8.799999999999999, 9.033333333333333, 8.633333333333335, 8.766666666666667, 9.4, 8.5, 7.433333333333334, 8.566666666666668, 8.066666666666666]",0.0,[9.299999999999999],0.0
CEAR,2020,0.0,0.0,0.0,0.0,0.0,"[5.400000000000001, 5.5, 9.266666666666667, 9.066666666666668, 8.233333333333333, 6.666666666666667, 7.533333333333334, 6.366666666666667, 9.766666666666667, 3.6333333333333333, 8.866666666666667, 8.933333333333334, 4.1]","[9.0, 7.766666666666666]",0.0,0.0
CCEN,2017,[9.299999999999999],"[8.366666666666665, 9.466666666666667, 8.8, 8.166666666666666, 8.666666666666666]",0.0,0.0,0.0,0.0,[8.133333333333333],"[7.366666666666666, 8.633333333333335, 4.0, 7.599999999999999, 7.733333333333334, 8.3, 8.499999999999998, 7.2]","[9.266666666666667, 9.700000000000001, 8.700000000000001, 9.133333333333333, 8.933333333333332, 8.9, 8.666666666666666, 9.466666666666667, 7.8, 8.766666666666667, 8.566666666666668]"
CCEN,2018,[9.133333333333333],"[9.0, 9.433333333333334, 5.233333333333333, 8.966666666666667]",[7.8],[8.5],0.0,0.0,"[8.866666666666665, 9.266666666666667]","[8.933333333333334, 9.366666666666667, 7.25, 8.366666666666667, 8.533333333333333, 8.4]","[8.033333333333333, 8.333333333333334, 8.600000000000001, 9.200000000000001, 8.9, 9.466666666666667, 9.166666666666666, 8.8, 8.766666666666667, 9.066666666666668, 9.466666666666667, 9.0]"
