,id_projeto,data_inicio,data_fim,descricao,descricao.1,ch_dedicada,sexo,ativo,id_pessoa,id_discente,curso,id_servidor,denominacao,unidade_lotacao
0,5546,2019,05/03/2020,DOCENTE,COORDENADOR(A),0,F,True,13654,,,13657.0,Docente                       ,CCHLA
1,675,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,M,True,8445,,,8445.0,Docente                       ,CCS
2,695,2017,31/03/2018,DOCENTE,COORDENADOR(A),0,F,True,8472,,,8472.0,Docente                       ,CCS
3,1012,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,F,True,9163,,,9164.0,Docente                       ,CCS
17,1012,2017,31/12/2017,DOCENTE,COLABORADOR(A),208,F,True,11266,,,15324.0,Docente                       ,CCS
19,1012,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,4376,,,4376.0,Docente                       ,CCS
22,1012,2017,31/12/2017,DOCENTE,COLABORADOR(A),272,M,True,9168,,,9169.0,Docente                       ,CCS
23,1012,2017,31/12/2017,DOCENTE,COLABORADOR(A),272,F,True,44770,,,19615.0,Docente                       ,CCS
24,1012,2017,31/12/2017,DOCENTE,COLABORADOR(A),272,F,True,13079,,,19104.0,Docente                       ,CCS
29,1310,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,F,True,14334,,,14337.0,Docente                       ,CCA
34,2590,nan,,DOCENTE,COORDENADOR(A),20,F,True,362157,,,21885.0,Docente                       ,CT
41,1302,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,F,True,21361,,,21302.0,Docente                       ,CCA
42,1302,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,14296,,,14299.0,Docente                       ,CCEN
43,1393,2017,31/12/2017,DOCENTE,ORIENTADOR,8,M,True,13146,,,18364.0,Docente                       ,CCAE
44,1393,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,M,True,13667,,,18365.0,Docente                       ,CCAE
45,1393,2017,31/12/2017,DOCENTE,ORIENTADOR,8,F,True,11963,,,15361.0,Docente                       ,CCTA
48,1393,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,11963,,,15361.0,Docente                       ,CCTA
49,1393,2017,31/12/2017,DOCENTE,ORIENTADOR,8,M,True,13838,,,13841.0,Docente                       ,CCAE
50,1393,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13146,,,18364.0,Docente                       ,CCAE
51,1393,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,11963,,,15361.0,Docente                       ,CCTA
52,1393,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13838,,,13841.0,Docente                       ,CCAE
53,1393,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,13667,,,18365.0,Docente                       ,CCAE
54,1393,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,13667,,,18365.0,Docente                       ,CCAE
55,1393,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,12350,,,15061.0,Docente                       ,CCAE
73,999,2017,31/12/2017,DOCENTE,COLABORADOR(A),120,F,True,19264,,,18378.0,Docente                       ,CCS
74,999,2017,31/12/2017,DOCENTE,COLABORADOR(A),120,M,True,12885,,,12888.0,Docente                       ,CCS
75,999,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),96,F,True,176416,,,20181.0,Docente                       ,CCS
76,999,2017,31/12/2017,DOCENTE,COLABORADOR(A),96,F,True,13991,,,13994.0,Docente                       ,CCS
78,999,2017,31/12/2017,DOCENTE,COORDENADOR(A),320,M,True,14055,,,14058.0,Docente                       ,CCS
