id_projeto,id_pessoa,categoria_membro,funcao_membro,data_inicio,data_fim,ch_dedicada,ch_execucao,ch_preparacao,ch_semanal,ano,a
525.0,167613.0,DOCENTE,ORIENTADOR,2017-05-11,2017-12-31,640.0,,,,2017.0,CCS
515.0,8472.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,0.0,,,,2017.0,CCS
789.0,9782.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-04-26,2017-12-26,312.0,,,,2017.0,CCM
857.0,13060.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CCS
701.0,11382.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,320.0,0.0,0.0,,2017.0,CCS
1278.0,372244.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,190.0,,,,2017.0,CCEN
516.0,10699.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,8.0,,,,2017.0,CCS
599.0,173527.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
705.0,14525.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCS
520.0,14714.0,DOCENTE,ORIENTADOR,2017-04-11,2017-12-31,1.0,,,,2017.0,CCS
566.0,12485.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,0.0,0.0,0.0,,2017.0,CCS
742.0,10418.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,20.0,0.0,0.0,,2017.0,CCHLA
607.0,11193.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-15,150.0,,,,2017.0,CCS
1039.0,405228.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,192.0,,,,2017.0,CCJ
1190.0,13106.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,384.0,0.0,0.0,,2017.0,CCAE
1200.0,12326.0,DOCENTE,ORIENTADOR,2017-05-15,2017-12-31,240.0,,,,2017.0,CCSA
708.0,99.0,DOCENTE,INSTRUTOR / SUPERVISOR,2017-05-11,2017-12-31,1.0,,,,2017.0,CCJ
565.0,14370.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CCM
709.0,10765.0,DOCENTE,COORDENADOR(A),2017-04-23,2017-12-28,48.0,0.0,0.0,,2017.0,CCAE
730.0,12316.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,432.0,0.0,0.0,,2017.0,CCHLA
1229.0,220772.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,64.0,,,,2017.0,CEAR
