projetos,docentes,centros,ano
1,18,CCHLA,2017
2,9,CCHLA,2017
3,6,CCHLA,2017
4,2,CCHLA,2017
5,3,CCHLA,2017
6,3,CCHLA,2017
1,2,CCHSA,2017
2,11,CCHSA,2017
3,6,CCHSA,2017
4,4,CCHSA,2017
5,6,CCHSA,2017
7,2,CCHSA,2017
1,2,CCJ,2017
2,6,CCJ,2017
3,3,CCJ,2017
5,4,CCJ,2017
8,1,CCJ,2017
9,1,CCJ,2017
1,17,CCS,2017
2,33,CCS,2017
3,22,CCS,2017
4,14,CCS,2017
5,9,CCS,2017
6,10,CCS,2017
7,5,CCS,2017
9,2,CCS,2017
11,1,CCS,2017
14,1,CCS,2017
1,4,CT,2017
2,16,CT,2017
3,13,CT,2017
4,3,CT,2017
5,3,CT,2017
7,1,CT,2017
1,13,CCM,2017
2,9,CCM,2017
3,6,CCM,2017
5,2,CCM,2017
6,3,CCM,2017
7,1,CCM,2017
1,2,CI,2017
2,3,CI,2017
4,1,CI,2017
5,2,CI,2017
1,2,CCAE,2017
2,11,CCAE,2017
3,8,CCAE,2017
4,2,CCAE,2017
5,3,CCAE,2017
7,1,CCAE,2017
8,1,CCAE,2017
1,6,CCEN,2017
2,6,CCEN,2017
3,6,CCEN,2017
4,1,CCEN,2017
5,1,CCEN,2017
7,1,CCEN,2017
1,10,CCA,2017
2,16,CCA,2017
3,7,CCA,2017
4,7,CCA,2017
5,5,CCA,2017
6,3,CCA,2017
8,1,CCA,2017
6,1,CBIOTEC,2017
1,3,CCSA,2017
2,4,CCSA,2017
3,7,CCSA,2017
4,3,CCSA,2017
5,2,CCSA,2017
6,2,CCSA,2017
8,2,CCSA,2017
9,2,CCSA,2017
1,13,CCTA,2017
2,10,CCTA,2017
3,7,CCTA,2017
4,2,CCTA,2017
5,1,CCTA,2017
6,1,CCTA,2017
7,3,CCTA,2017
9,1,CCTA,2017
2,1,CEAR,2017
3,1,CEAR,2017
4,3,CEAR,2017
6,1,CEAR,2017
8,1,CEAR,2017
1,5,CE,2017
2,7,CE,2017
3,8,CE,2017
4,3,CE,2017
5,2,CE,2017
8,1,CE,2017
2,2,CTDR,2017
4,6,CTDR,2017
5,7,CTDR,2017
6,1,CTDR,2017
7,1,CTDR,2017
1,13,CCHLA,2018
2,13,CCHLA,2018
3,6,CCHLA,2018
4,8,CCHLA,2018
5,5,CCHLA,2018
6,1,CCHLA,2018
7,1,CCHLA,2018
8,2,CCHLA,2018
1,6,CCHSA,2018
2,10,CCHSA,2018
3,6,CCHSA,2018
4,5,CCHSA,2018
5,4,CCHSA,2018
6,3,CCHSA,2018
7,1,CCHSA,2018
8,1,CCHSA,2018
10,1,CCHSA,2018
2,4,CCJ,2018
3,2,CCJ,2018
4,2,CCJ,2018
5,5,CCJ,2018
6,2,CCJ,2018
7,1,CCJ,2018
1,18,CCS,2018
2,32,CCS,2018
3,34,CCS,2018
4,15,CCS,2018
5,9,CCS,2018
6,4,CCS,2018
7,7,CCS,2018
8,3,CCS,2018
9,2,CCS,2018
10,2,CCS,2018
11,2,CCS,2018
16,1,CCS,2018
1,6,CT,2018
2,8,CT,2018
3,11,CT,2018
4,3,CT,2018
6,1,CT,2018
7,2,CT,2018
1,12,CCM,2018
2,15,CCM,2018
3,10,CCM,2018
4,2,CCM,2018
5,1,CCM,2018
6,1,CCM,2018
7,1,CCM,2018
8,1,CCM,2018
17,1,CCM,2018
1,2,CI,2018
2,3,CI,2018
3,3,CI,2018
4,3,CI,2018
10,1,CI,2018
1,6,CCAE,2018
2,10,CCAE,2018
3,7,CCAE,2018
4,2,CCAE,2018
5,5,CCAE,2018
6,1,CCAE,2018
8,1,CCAE,2018
9,1,CCAE,2018
12,1,CCAE,2018
1,9,CCEN,2018
2,9,CCEN,2018
3,3,CCEN,2018
4,2,CCEN,2018
7,1,CCEN,2018
9,1,CCEN,2018
1,10,CCA,2018
2,21,CCA,2018
3,14,CCA,2018
4,4,CCA,2018
5,2,CCA,2018
