id_projeto,id_pessoa,categoria_membro,funcao_membro,data_inicio,data_fim,ch_dedicada,ch_execucao,ch_preparacao,ch_semanal,ano,a,area
2542.0,13426.0,DOCENTE,COLABORADOR(A),2018-03-15,2018-12-31,1.0,,,,2018.0,CCS,Ciências da Saúde
2762.0,44770.0,DOCENTE,COLABORADOR(A),2018-03-09,2018-12-31,4.0,,,,2018.0,CCS,Ciências da Saúde
667.0,367391.0,DISCENTE,ALUNO(A) VOLUNTARIO(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCS,Ciências da Saúde
2634.0,16337.0,SERVIDOR,COLABORADOR(A),2018-02-16,2018-12-16,1.0,,,,2018.0,CCS,Ciências da Saúde
2975.0,256869.0,DISCENTE,ALUNO(A) VOLUNTARIO(A),2018-03-09,2018-12-31,0.0,,,,2018.0,CCM,Ciências da Saúde
2859.0,12084.0,DOCENTE,COORDENADOR(A),2018-03-09,2018-12-31,800.0,0.0,0.0,,2018.0,CCA,Ciências Agrárias
667.0,427303.0,EXTERNO,COLABORADOR(A),2017-05-01,2017-12-31,256.0,,,,2017.0,CCS,Ciências da Saúde
1126.0,166921.0,DISCENTE,ALUNO(A) BOLSISTA,2017-05-16,2017-12-31,0.0,,,,2017.0,CI,Engenharias
1185.0,12618.0,SERVIDOR,COLABORADOR(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCEN,Ciências Biológicas
2220.0,391529.0,DISCENTE,ALUNO(A) BOLSISTA,2018-03-09,2018-12-31,800.0,,,,2018.0,CTDR,Ciências Agrárias
1390.0,23493.0,SERVIDOR,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCS,Ciências da Saúde
1039.0,354078.0,DISCENTE,ALUNO(A) VOLUNTARIO(A),2017-05-11,2017-12-31,308.0,,,,2017.0,CCJ,Ciências Sociais Aplicadas
1359.0,331972.0,DISCENTE,ALUNO(A) VOLUNTARIO(A),2017-05-15,2017-12-31,640.0,,,,2017.0,CCTA,Ciências Sociais Aplicadas
941.0,167613.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCS,Ciências da Saúde
525.0,167613.0,DOCENTE,ORIENTADOR,2017-05-11,2017-12-31,640.0,,,,2017.0,CCS,Ciências da Saúde
1039.0,354637.0,DISCENTE,ALUNO(A) VOLUNTARIO(A),2017-05-11,2017-12-31,384.0,,,,2017.0,CCJ,Ciências Sociais Aplicadas
