Centros,2017,2018,2019,2020
CCS,8.825797872340425,8.947619047619046,8.915498938428875,8.676326530612243
CEAR,7.866666666666666,8.953333333333335,8.725641025641025,7.126086956521741
CCEN,8.17560975609756,8.523529411764704,8.852380952380951,8.729126213592231
CT,7.869696969696969,8.2,8.576315789473684,8.305511811023619
CCM,8.831531531531532,8.6921568627451,8.877272727272727,8.74748201438849
CBIOTEC,7.722222222222222,8.846666666666666,8.96,8.761538461538462
CTDR,8.377777777777776,7.887037037037037,8.808333333333335,9.002
CCHLA,8.529251700680273,8.957232704402518,9.102923976608187,8.633490566037736
CCTA,8.487499999999999,8.986842105263158,9.112698412698412,8.888321167883213
CCHSA,8.450450450450452,8.593650793650793,8.92991452991453,8.547019867549668
CCSA,7.996907216494846,8.535238095238096,8.666666666666664,8.03233082706767
CI,8.195833333333333,8.684615384615382,8.67111111111111,8.36923076923077
CCAE,8.304,8.606140350877194,8.905833333333334,8.215107913669065
CCJ,8.318181818181818,9.001818181818184,9.036111111111111,8.390000000000002
CCA,8.091256830601091,8.683040935672516,8.901075268817204,8.607650273224042
CE,8.677450980392159,8.805555555555559,8.939130434782609,8.12394366197183
