,,Ciências da Saúde,Ciências Humanas,Ciências Sociais Aplicadas,Ciências Agrárias,"Lingüística, Letras e Artes",Engenharias,Multidisciplinar,Ciências Exatas e da Terra,Ciências Biológicas
CCS,2017,8.836324786324786,8.722222222222223,0.0,0.0,0.0,0.0,0.0,0.0,8.25
CCS,2018,8.985641025641025,9.0,0.0,0.0,0.0,0.0,8.422222222222222,0.0,8.488888888888889
CCS,2019,8.932450331125828,9.344444444444443,0.0,0.0,0.0,0.0,7.133333333333333,0.0,7.883333333333333
CCS,2020,8.76778523489933,9.383333333333333,0.0,0.0,0.0,0.0,8.755555555555555,0.0,8.155555555555557
CEAR,2017,0.0,0.0,0.0,0.0,0.0,7.874999999999999,0.0,0.0,0.0
CEAR,2018,0.0,0.0,0.0,0.0,0.0,8.9125,9.200000000000001,9.033333333333333,0.0
CEAR,2019,0.0,0.0,0.0,0.0,0.0,8.677777777777777,0.0,9.299999999999999,0.0
CEAR,2020,0.0,0.0,0.0,0.0,0.0,7.179487179487181,8.383333333333333,0.0,0.0
CCEN,2017,9.299999999999999,8.693333333333332,0.0,0.0,0.0,0.0,8.133333333333333,7.416666666666666,8.9
CCEN,2018,9.133333333333333,8.158333333333333,7.8,8.5,0.0,0.0,9.066666666666666,8.475,8.9
CCEN,2019,9.1,8.577777777777778,9.066666666666666,0.0,0.0,0.0,9.391666666666667,8.533333333333335,9.008333333333333
CCEN,2020,8.916666666666668,8.766666666666666,0.0,0.0,0.0,0.0,9.137037037037038,8.554166666666667,8.511111111111111
CT,2017,7.833333333333333,0.0,0.0,8.416666666666666,0.0,8.059126984126983,8.299999999999999,7.833333333333334,0.0
CT,2018,8.766666666666666,0.0,0.0,8.408333333333333,0.0,8.242222222222221,7.733333333333333,8.033333333333333,0.0
CT,2019,8.233333333333334,8.633333333333333,8.847619047619048,7.45,0.0,8.681884057971015,8.822222222222223,0.0,0.0
CT,2020,0.0,9.0,8.372222222222222,8.200000000000001,0.0,8.196666666666667,9.373333333333333,0.0,0.0
CCM,2017,8.870588235294116,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0
CCM,2018,8.763333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,2019,8.865116279069767,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
CCM,2020,8.842424242424242,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
CBIOTEC,2017,7.5,7.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,8.233333333333334
CBIOTEC,2018,9.133333333333333,8.266666666666666,0.0,0.0,0.0,0.0,8.9,0.0,8.966666666666665
CBIOTEC,2019,0.0,8.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,8.466666666666667
CBIOTEC,2020,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,8.733333333333334
CTDR,2017,9.0,0.0,8.366666666666665,8.452380952380953,0.0,7.966666666666666,0.0,8.208333333333334,0.0
CTDR,2018,8.333333333333332,0.0,9.0,8.270833333333334,0.0,8.644444444444444,5.066666666666666,9.066666666666666,0.0
CTDR,2019,9.733333333333334,0.0,9.158333333333333,8.861904761904762,0.0,8.133333333333333,8.133333333333333,0.0,0.0
CTDR,2020,0.0,0.0,8.753333333333334,9.10952380952381,0.0,8.85,9.2,0.0,0.0
CCHLA,2017,8.325,8.626388888888888,9.6,0.0,8.294117647058822,0.0,8.9,0.0,0.0
CCHLA,2018,8.922222222222222,8.91358024691358,8.899999999999999,0.0,9.019298245614035,0.0,9.016666666666666,0.0,0.0
CCHLA,2019,9.494444444444445,8.994444444444445,9.255555555555555,0.0,8.93888888888889,0.0,9.561111111111112,0.0,0.0
CCHLA,2020,9.55,8.701904761904762,9.177777777777777,0.0,8.584722222222222,9.4,8.879999999999999,0.0,0.0
CCTA,2017,7.8999999999999995,8.633333333333335,8.13888888888889,0.0,8.691666666666666,0.0,8.0,0.0,0.0
