centro,2017,2018,2019,2020,media
CTDR,3.81,2.83,2.62,3.56,3.21
CI,3.38,4.33,5.00,3.12,3.96
CCHSA,4.94,4.82,2.87,3.98,4.15
CCTA,4.95,4.88,5.47,2.00,4.33
CEAR,5.00,4.62,2.70,5.43,4.44
CE,4.42,5.14,5.11,4.21,4.72
CCA,5.06,4.76,5.58,7.21,5.65
CCHLA,5.60,7.21,4.55,5.53,5.72
CCAE,6.25,7.29,6.00,4.38,5.98
CCS,5.91,6.07,5.82,6.47,6.07
CCEN,4.48,7.69,8.37,4.21,6.19
CT,5.68,5.65,6.70,7.03,6.27
CCSA,7.50,5.81,7.41,6.61,6.83
CBIOTEC,14.00,7.60,3.60,3.25,7.11
CCJ,8.24,6.50,8.95,8.69,8.09
CCM,7.65,7.35,5.89,12.77,8.41
